day	hour	value	album	artist
3	24	7	Film Tv Vol 1, Pop Vol 1	Jose Arias, Simon Brewer, Harlan Glotzer, Angelo Carter, Michael Churton	
4	1	0	 	 	
4	2	0	 	 	
4	3	0	 	 	
4	4	0	 	 	
4	5	0	 	 	
4	6	2	Classical Vol 1, Film Tv Vol 1	Josquin dePres, Ryan Leach	
4	7	4	Blues Vol 1, Electronics Vol1, Classical Vol 1, Pop Vol 1	DarrenMarc Levene, Paul Madden, Lawrence Blatt, William Newman, Tim Kvasnosky, Andersen Viana	
4	8	13	Rock Vol 1, Film Tv Vol 1	Aaron Nagler, Walter Elson	
4	9	26	Rock Vol 1	Steve Glotzer, John Snow, Shaun Friedman	
4	10	58	Classical Vol 1	Adam Haggar	
4	11	61	Blues Vol 1, Pop Vol 1	John Rickey, Christian Montalbano, Raymond Rodriguez	
4	12	59	Jazz Vol 1, Pop Vol 1, Classical Vol 1, Country Fold Vol 1	Mark Cally, Joe Barretta, Steven Benson(Derby), Irene Merring	
4	13	53	Rock Vol 1, Jazz Vol 1, Film Tv Vol 1, Electronics Vol1	John Loeffler, Wesley Hudson, Joellen Williamson, Ron Mancuso, Greg Colacino	
4	14	54	Blues Vol 1, Rock Vol 1	Rick Horvath, Michele Vanni, Wesley Hutchinson, Michael D'Agostino	
4	15	64	Jazz Vol 1	Daniel Basford, Ged Flood, Robert Myers(JIVA), Robin Stine, Josquin dePres	
4	16	55	Country Fold Vol 1	Nick Behnan(JIVA), TedAnthony(Tony) Meade	
4	17	52	Country Fold Vol 1, Rock Vol 1, Latin Vol 1	Robert Davidson, RyanE. Newman, Michael Genato, JonGilbert Leavitt, Dion McKenzie	
4	18	53	Electronics Vol1, Latin Vol 1	Michael Turner(JIVA)	
4	19	18	Classical Vol 1	Peter Calandra, Livio Guerra	
4	20	3	Rock Vol 1	Michael McLaughlin, Marci Bernstein	
4	21	9	Rock Vol 1	Michelangelo Sosnowitz, Konstantinos Panagiotidis, Rosalind Richards, Aaron Henry	
4	22	12	Rock Vol 1	Steven Benson(Derby), Ona Diaz-Santin(Derby), Eliot Pister, Daniel Infuso, Rosalind Richards	
4	23	2	Rock Vol 1, Classical Vol 1	Kyle Kee, Greg Hosharian, PaulK. Determan, Lucius Dennis, John Maycraft, Lloyd Landesman	
4	24	8	Electronics Vol1, Blues Vol 1	DanielB. Craig, Zilo Groove, Pierre Langer, Christopher Harvey, Christian Castle, DennisT. Godshalk	
5	1	2	Classical Vol 1	Dorian Childs, Peter Calandra, Ben Zwerin(DreamCircle), Fred(FreddyMonday) Horvath	
5	2	0	 	 	
5	3	8	Jazz Vol 1	J.D. Feighner, Kathleen Walker, Denise Barbarita, Oren Neiman, Christopher Holland, Len Handler	
5	4	2	Electronics Vol1, Jazz Vol 1	Delene St.Clair, Logan Tracey, Debra Davis, StephenP. Nick, RudyH. Renshof	
5	5	0	 	 	
5	6	2	Pop Vol 1	JamesR. Wilson, Manuel Zapien-Gamez, Robert Firpo-Cappiello, Rocio Gomez, Katy Walker(DreamCircle)	
5	7	4	Blues Vol 1, Urban Vol 1	Adam Haggar	
5	8	14	Country Fold Vol 1, Jazz Vol 1, Classical Vol 1	Mike Genato(DreamCircle), Anthony Morra, Brendan Arnold(AudioSpaghetti), Steven Becket, Geoff Harvey, Frank FussaJr.(MorningFuzz)	
5	9	31	Electronics Vol1, Jazz Vol 1, Film Tv Vol 1	Todd Gauthreaux, Nunzio Signore, Jeff Curry, Alena Liakh-Tarasava, Steve Rabeler	
5	10	48	Classical Vol 1	StephenP. Nick, Alan Marchand, Nicholas Saya	
5	11	46	Classical Vol 1	AdamM. Greenberg(AdamMichaels), Jordan Carp, Stuart Burrows, Michael Izzo, Dimitrios Hatzisavas	
5	12	50	Film Tv Vol 1, Latin Vol 1, Pop Vol 1	Goffredo Orlandi, S.Miria Jo, Kanako Omae, Jamie Sparks, Tony Hooper, Shane Henry	
5	13	66	Film Tv Vol 1	AaronM. Peterson(JoelChassan), Steve Rabeler, ErinLee Kelly, Rocio Gomez	
5	14	54	Pop Vol 1	Michael McLaughlin, Mark Cally, Lisa Jaeggi, Ben Kopec, Fred Garantabee, Ed Kessel	
5	15	56	Urban Vol 1, Latin Vol 1, Classical Vol 1	Robert Myers(JIVA), Michael Whalen, Warren Chadwick, AlexAdmiral Collier, Michael Hayes, LouiseAnnette Smart	
5	16	67	Pop Vol 1	ColinStarbuck O'Dwyer, Eric Bolvin, T'Darrio Hamilton, John Foltz, Pierre Langer, Karl Anthony	
5	17	54	Pop Vol 1, Classical Vol 1, Rock Vol 1	Rick Horvath, John Foltz, Hugh Pool	
5	18	23	Pop Vol 1	Brennan Johnson, Ronald Gamache	
5	19	14	Urban Vol 1, Classical Vol 1	James Forrest, Steve Augello, Jamie Sparks	
5	20	6	Latin Vol 1, Pop Vol 1, Jazz Vol 1	Michael Churton, BenjaminC. Gorske, Raymond Rodriguez, John Maycraft	
5	21	8	Electronics Vol1	StephenAndrew Love, Matthew Hillyer, Jared Jones	
5	22	7	Latin Vol 1, Film Tv Vol 1, Jazz Vol 1, Country Fold Vol 1	John Loeffler, StephenAndrew Love, Janet Cucinotti	
5	23	0	 	 	
5	24	8	Classical Vol 1	Panos Kappos	
6	1	2	Urban Vol 1	Ed Kessel	
6	2	0	 	 	
6	3	2	Latin Vol 1	Paul Madden, Darnell Gibson, Alexis Burgess	
6	4	0	 	 	
6	5	0	 	 	
6	6	0	 	 	
6	7	4	Rock Vol 1	Ian Lloyd, Donell Johnson, Aaron Nagler, Jean-Marc Boiteux, Neil Jason, Maxwell Waker	
6	8	8	Latin Vol 1	Brian Bergeron	
6	9	8	Latin Vol 1	Diederik Baan, Brad Ross, Brian Hines	
6	10	6	Jazz Vol 1, Country Fold Vol 1	John Snow	
6	11	14	Pop Vol 1, Blues Vol 1	StephenAndrew Love, Jose Arias, John Rickey, Brian Wayy	
6	12	12	Blues Vol 1	Jose Arias, Grady Walker, Chris Truitt, Jenn Adams	
6	13	9	Electronics Vol1	RolandT. Rudzitis, Ian Lloyd, Livio Guerra	
6	14	14	Pop Vol 1	Michele Vanni	
6	15	0	 	 	
6	16	4	Electronics Vol1, Jazz Vol 1	Debra Davis, Jared Jones, John Rao, Steven Bradshaw	
6	17	7	Urban Vol 1, Pop Vol 1	Simon Brewer, RobertJ. Morales(DJRobDeniro), Dean Barrett	
6	18	6	Film Tv Vol 1, Urban Vol 1, Rock Vol 1, Jazz Vol 1	Barry Cahill, Omari(Blee) Riley, Hugh Pool, Michael McLaughlin	
6	19	0	 	 	
6	20	0	 	 	
6	21	0	 	 	
6	22	0	 	 	
6	23	0	 	 	
6	24	0	 	 	
7	1	7	Pop Vol 1, Urban Vol 1, Latin Vol 1	Pierre Langer	
7	2	6	Country Fold Vol 1, Film Tv Vol 1	Darnell Gibson, Kevin Bryce, Chris Smith	
7	3	0	 	 	
7	4	0	 	 	
7	5	0	 	 	
7	6	0	 	 	
7	7	0	 	 	
7	8	0	 	 	
7	9	0	 	 	
7	10	0	 	 	
7	11	2	Country Fold Vol 1	Eliot Pister, Ben Zwerin(DreamCircle), Rick Balentine	
7	12	2	Classical Vol 1	Konstantinos Panagiotidis, Ben Fisseler, Randy Klein	
7	13	5	Latin Vol 1	Lawrence Blatt, Lucius Dennis	
7	14	6	Urban Vol 1	Stuart Kollmorgen, Nathan Reinauer, TedAnthony(Tony) Meade, Tim Kvasnosky, Jeff Curry	
7	15	0	 	 	
7	16	4	Latin Vol 1, Jazz Vol 1	RudyH. Renshof, Fabio D'Andrea, Panos Kappos, Ralph Schuckett, Jamie Sparks, George Gregory(DreamCircle)	
7	17	0	 	 	
7	18	2	Urban Vol 1, Blues Vol 1	David Flavin, DavidP. Wolfert, Mark Breeding, Jordan Allen, Eric Roberts	
7	19	10	Country Fold Vol 1, Urban Vol 1, Rock Vol 1	Scott Jones	
7	20	7	Classical Vol 1, Jazz Vol 1, Electronics Vol1, Urban Vol 1	Russell Constantine, Ged Flood, Jim McGregor	
7	21	0	 	 	
7	22	19	Urban Vol 1, Latin Vol 1, Classical Vol 1	Joel Stein, Greg Colacino, EIEGPublishing KeingzRansom, JonathanMartin Gordon, Kevin Brennan	
7	23	9	Film Tv Vol 1, Rock Vol 1	Jim McGregor, Rick Balentine, JamesW. Chappell, Laura Ault, Cordell Epps, Rocio Gomez	
7	24	4	Blues Vol 1	Robert Mann	
